task_id,strategy,family,passes,k,pass@k
HumanEval/101,Checklist,DeepSeek,2,3,1
HumanEval/101,Checklist,Qwen,3,3,1
HumanEval/101,CoT,DeepSeek,3,3,1
HumanEval/101,CoT,Qwen,2,3,1
HumanEval/125,Checklist,DeepSeek,1,3,1
HumanEval/125,Checklist,Qwen,3,3,1
HumanEval/125,CoT,DeepSeek,0,3,0
HumanEval/125,CoT,Qwen,3,3,1
HumanEval/125,Self-Repair,DeepSeek,0,1,0
HumanEval/134,Checklist,DeepSeek,2,3,1
HumanEval/134,Checklist,Qwen,3,3,1
HumanEval/134,CoT,DeepSeek,1,3,1
HumanEval/134,CoT,Qwen,2,3,1
HumanEval/145,Checklist,DeepSeek,0,3,0
HumanEval/145,Checklist,Qwen,3,3,1
HumanEval/145,CoT,DeepSeek,0,3,0
HumanEval/145,CoT,Qwen,3,3,1
HumanEval/145,Self-Repair,DeepSeek,0,1,0
HumanEval/147,Checklist,DeepSeek,1,3,1
HumanEval/147,Checklist,Qwen,3,3,1
HumanEval/147,CoT,DeepSeek,0,3,0
HumanEval/147,CoT,Qwen,3,3,1
HumanEval/24,Checklist,DeepSeek,2,3,1
HumanEval/24,Checklist,Qwen,3,3,1
HumanEval/24,CoT,DeepSeek,3,3,1
HumanEval/24,CoT,Qwen,3,3,1
HumanEval/50,Checklist,DeepSeek,2,3,1
HumanEval/50,Checklist,Qwen,3,3,1
HumanEval/50,CoT,DeepSeek,0,3,0
HumanEval/50,CoT,Qwen,3,3,1
HumanEval/51,Checklist,DeepSeek,3,3,1
HumanEval/51,Checklist,Qwen,3,3,1
HumanEval/51,CoT,DeepSeek,3,3,1
HumanEval/51,CoT,Qwen,3,3,1
HumanEval/52,Checklist,DeepSeek,2,3,1
HumanEval/52,Checklist,Qwen,3,3,1
HumanEval/52,CoT,DeepSeek,2,3,1
HumanEval/52,CoT,Qwen,3,3,1
HumanEval/66,Checklist,DeepSeek,1,3,1
HumanEval/66,Checklist,Qwen,3,3,1
HumanEval/66,CoT,DeepSeek,3,3,1
HumanEval/66,CoT,Qwen,3,3,1
